Manual Page,Examined
FvwmAuto.1,yes
FvwmBacker.1,yes
FvwmBanner.1,yes
FvwmButtons.1,yes
FvwmCpp.1,yes
FvwmForm.1,yes
FvwmIconBox.1,yes
FvwmIconMan.1,yes
FvwmIdent.1,yes
FvwmM4.1,yes
FvwmPager.1,yes
FvwmRearrange.1,yes
FvwmSave.1,yes
FvwmSaveDesk.1,yes
FvwmScroll.1,yes
FvwmTalk.1,yes
FvwmWinList.1,yes
Internals.1,yes
PACKAGING.1,yes
Xephyr.1,yes
Xmark.1,yes
Xnest.1,yes
Xorg.1,yes
Xserver.1,yes
Xvfb.1,yes
acme-client.1,yes
addr2line.1,yes
amd64/fdformat.1,yes
apply.1,yes
appres.1,yes
apropos.1,yes
ar.1,yes
arch.1,yes
as.1,yes
at.1,yes
atobm.1,yes
atq.1,yes
atrm.1,yes
aucat.1,yes
awk.1,yes
banner.1,yes
basename.1,yes
bc.1,yes
bdftopcf.1,yes
bdftruncate.1,yes
beforelight.1,yes
biff.1,yes
bitmap.1,yes
bmtoa.1,yes
build-debug-info.1,yes
c++.1,yes
c++filt.1,yes
cal.1,yes
calendar.1,yes
cap_mkdb.1,yes
captoinfo.1,yes
cat.1,yes
cc.1,yes
cdio.1,yes
check-lib-depends.1,yes
chflags.1,yes
chgrp.1,yes
chio.1,yes
chmod.1,yes
chpass.1,yes
ci.1,yes
cksum.1,yes
clang.1,yes
clang-local.1,yes
clean-old-distfiles.1,yes
cmp.1,yes
co.1,yes
col.1,yes
colrm.1,yes
column.1,yes
comm.1,yes
compress.1,yes
corelist.1,yes
cp.1,yes
cpan.1,yes
cpio.1,yes
cpp.1,yes
crontab.1,yes
csh.1,yes
csplit.1,yes
ctags.1,yes
ctfconv.1,yes
ctfdump.1,yes
ctfstrip.1,yes
cu.1,yes
cut.1,yes
cvs.1,yes
cvt.1,yes
cwm.1,yes
cxpm.1,yes
date.1,yes
dc.1,yes
dd.1,yes
deroff.1,yes
df.1,yes
dga.1,yes
diff.1,yes
diff3.1,yes
dig.1,yes
dirname.1,yes
doas.1,yes
domainname.1,yes
dpb.1,yes
dpb-replay.1,yes
du.1,yes
echo.1,yes
ed.1,yes
editres.1,yes
enc2xs.1,no
encguess.1,yes
encrypt.1,yes
env.1,yes
expand.1,yes
expr.1,yes
false.1,yes
fc-cache.1,no
fc-cat.1,no
fc-conflist.1,no
fc-list.1,no
fc-match.1,no
fc-pattern.1,no
fc-query.1,no
fc-scan.1,no
fc-validate.1,no
fgen.1,yes
file.1,yes
find.1,yes
finger.1,yes
flex.1,yes
fmt.1,yes
fold.1,yes
fonttosfnt.1,yes
from.1,yes
fstat.1,yes
ftp.1,yes
fuser.1,yes
fvwm.1,yes
gcc-local.1,yes
gccmakedep.1,yes
gdb.1,yes
gencat.1,yes
getcap.1,yes
getconf.1,yes
getent.1,yes
getopt.1,yes
glxgears.1,yes
glxinfo.1,yes
gprof.1,yes
grep.1,yes
groups.1,yes
gtf.1,yes
gzexe.1,yes
gzip.1,yes
h2ph.1,yes
h2xs.1,yes
head.1,yes
help.1,yes
hexdump.1,yes
host.1,yes
hostname.1,yes
htpasswd.1,yes
i386/fdformat.1,no
iceauth.1,yes
ico.1,yes
id.1,yes
ident.1,yes
indent.1,yes
info.1,yes
infocmp.1,yes
infokey.1,yes
infotocap.1,yes
install.1,yes
install-info.1,yes
instmodsh.1,yes
intro.1,yes
ipcrm.1,yes
ipcs.1,yes
join.1,yes
jot.1,yes
kdump.1,yes
keynote.1,yes
kill.1,yes
ksh.1,yes
kstat.1,yes
ktrace.1,yes
lam.1,yes
last.1,yes
lastcomm.1,yes
ld.1,yes
ld.bfd.1,yes
ld.lld.1,yes
ld.so.1,yes
ldap.1,yes
ldd.1,yes
leave.1,yes
less.1,yes
lesskey.1,yes
libnetcfg.1,yes
libtool.1,yes
listres.1,yes
lldb.1,yes
llvm-config.1,yes
llvm-cov.1,yes
llvm-objcopy.1,yes
llvm-objdump.1,yes
llvm-profdata.1,yes
llvm-readelf.1,yes
llvm-readobj.1,yes
ln.1,yes
lndir.1,yes
locale.1,yes
locate.1,yes
lock.1,yes
lockspool.1,yes
logger.1,yes
login.1,yes
logname.1,yes
look.1,yes
lorder.1,yes
lpq.1,yes
lpr.1,yes
lprm.1,yes
ls.1,yes
ltrace.1,yes
luit.1,yes
m4.1,yes
mail.1,yes
make.1,yes
makedepend.1,yes
makeinfo.1,yes
man.1,yes
mandoc.1,yes
md5.1,yes
merge.1,yes
mesg.1,yes
mg.1,yes
midicat.1,yes
mkdep.1,yes
mkdir.1,yes
mkfifo.1,yes
mkfontdir.1,yes
mkfontscale.1,yes
mklocale.1,yes
mktemp.1,yes
mopa.out.1,yes
mopchk.1,yes
mopprobe.1,yes
moptrace.1,yes
more.1,yes
mt.1,yes
mv.1,yes
nc.1,yes
netstat.1,yes
nfsstat.1,yes
nice.1,yes
nl.1,yes
nm.1,yes
nohup.1,yes
nslookup.1,yes
objcopy.1,yes
objdump.1,yes
oclock.1,yes
od.1,yes
openrsync.1,yes
openssl.1,yes
outdated-perl-ports.1,yes
pagesize.1,yes
passwd.1,yes
paste.1,yes
patch.1,yes
pax.1,yes
pctr.1,yes
perl.1,yes
perl5004delta.1,no
perl5005delta.1,no
perl5100delta.1,no
perl5101delta.1,no
perl5120delta.1,no
perl5121delta.1,no
perl5122delta.1,no
perl5123delta.1,no
perl5124delta.1,no
perl5125delta.1,no
perl5140delta.1,no
perl5141delta.1,no
perl5142delta.1,no
perl5143delta.1,no
perl5144delta.1,no
perl5160delta.1,no
perl5161delta.1,no
perl5162delta.1,no
perl5163delta.1,no
perl5180delta.1,no
perl5181delta.1,no
perl5182delta.1,no
perl5184delta.1,no
perl5200delta.1,no
perl5201delta.1,no
perl5202delta.1,no
perl5203delta.1,no
perl5220delta.1,no
perl5221delta.1,no
perl5222delta.1,no
perl5223delta.1,no
perl5224delta.1,no
perl5240delta.1,no
perl5241delta.1,no
perl5242delta.1,no
perl5243delta.1,no
perl5244delta.1,no
perl5260delta.1,no
perl5261delta.1,no
perl5262delta.1,no
perl5263delta.1,no
perl5280delta.1,no
perl5281delta.1,no
perl5282delta.1,no
perl5283delta.1,no
perl5300delta.1,no
perl5301delta.1,no
perl5302delta.1,no
perl5303delta.1,no
perl5320delta.1,no
perl5321delta.1,no
perl5340delta.1,no
perl5341delta.1,no
perl5360delta.1,no
perl5361delta.1,no
perl561delta.1,no
perl56delta.1,no
perl581delta.1,no
perl582delta.1,no
perl583delta.1,no
perl584delta.1,no
perl585delta.1,no
perl586delta.1,no
perl587delta.1,no
perl588delta.1,no
perl589delta.1,no
perl58delta.1,no
perlapi.1,no
perlapio.1,no
perlbook.1,yes
perlboot.1,yes
perlbot.1,yes
perlbug.1,no
perlcall.1,no
perlcheat.1,no
perlclib.1,no
perlcommunity.1,no
perldata.1,no
perldbmfilter.1,no
perldebtut.1,no
perldebug.1,no
perldelta.1,no
perldeprecation.1,no
perldiag.1,no
perldoc.1,no
perldocstyle.1,no
perldsc.1,no
perlembed.1,no
perlexperiment.1,no
perlfaq.1,no
perlfaq1.1,no
perlfaq2.1,no
perlfaq3.1,no
perlfaq4.1,no
perlfaq5.1,no
perlfaq6.1,no
perlfaq7.1,no
perlfaq8.1,no
perlfaq9.1,no
perlfilter.1,no
perlfork.1,no
perlform.1,no
perlfunc.1,no
perlgit.1,no
perlglossary.1,no
perlgov.1,no
perlguts.1,no
perlhack.1,no
perlhacktips.1,no
perlhacktut.1,no
perlhist.1,no
perlintern.1,no
perlinterp.1,no
perlintro.1,no
perliol.1,no
perlipc.1,no
perlivp.1,no
perllexwarn.1,no
perllocale.1,no
perllol.1,no
perlmod.1,no
perlmodinstall.1,no
perlmodlib.1,no
perlmodstyle.1,no
perlmroapi.1,no
perlnewmod.1,no
perlnumber.1,no
perlobj.1,no
perlootut.1,no
perlop.1,no
perlopenbsd.1,yes
perlopentut.1,no
perlpacktut.1,no
perlperf.1,no
perlpod.1,no
perlpodspec.1,no
perlpodstyle.1,no
perlpolicy.1,no
perlport.1,no
perlpragma.1,no
perlre.1,no
perlreapi.1,no
perlrebackslash.1,no
perlrecharclass.1,no
perlref.1,no
perlreftut.1,no
perlreguts.1,no
perlrepository.1,no
perlrequick.1,no
perlreref.1,no
perlretut.1,no
perlrun.1,no
perlsec.1,no
perlsecpolicy.1,no
perlsource.1,no
perlstyle.1,no
perlsub.1,no
perlsyn.1,no
perlsynology.1,no
perlthrtut.1,no
perltie.1,no
perltoc.1,no
perltodo.1,no
perltooc.1,no
perltoot.1,no
perltrap.1,no
perlunicode.1,no
perlunicook.1,no
perlunifaq.1,no
perluniintro.1,no
perluniprops.1,no
perlunitut.1,no
perlutil.1,no
perlvar.1,no
perlxs.1,no
perlxstut.1,no
perlxstypemap.1,no
piconv.1,yes
pkg-config.1,yes
pkg_add.1,yes
pkg_check-manpages.1,yes
pkg_check-problems.1,yes
pkg_check-version.1,yes
pkg_create.1,yes
pkg_delete.1,yes
pkg_info.1,yes
pkg_mklocatedb.1,yes
pkg_outdated.1,yes
pkg_sign.1,yes
pkg_subst.1,yes
pkill.1,yes
pl2pm.1,yes
pod2html.1,yes
pod2man.1,yes
pod2text.1,yes
pod2usage.1,yes
podbuildtoc.1,yes
podchecker.1,yes
port-getpkgpath-helper.1,yes
port-resolve-lib-helper.1,yes
port-search-helper.1,yes
portbump.1,yes
portcheck.1,yes
portgen.1,yes
portimport.1,yes
portlock.1,yes
portslogger.1,yes
pr.1,yes
printenv.1,yes
printf.1,yes
procmap.1,yes
proot.1,yes
protoize.1,yes
prove.1,yes
ps.1,yes
pwd.1,yes
quota.1,yes
radioctl.1,yes
ranlib.1,yes
rcs.1,yes
rcs2log.1,yes
rcsclean.1,yes
rcsdiff.1,yes
rcsmerge.1,yes
rdist.1,yes
rdistd.1,yes
readelf.1,yes
readlink.1,yes
realpath.1,yes
register-plist.1,yes
resize.1,yes
rev.1,yes
rlog.1,yes
rm.1,yes
rmdir.1,yes
rpcgen.1,yes
rs.1,yes
rup.1,yes
rusers.1,yes
rwall.1,yes
scp.1,yes
script.1,yes
sdiff.1,yes
sed.1,yes
sendbug.1,yes
seq.1,yes
sessreg.1,yes
setxkbmap.1,yes
sftp.1,yes
sh.1,yes
shar.1,yes
showrgb.1,yes
signify.1,yes
size.1,yes
skey.1,yes
skeyaudit.1,yes
skeyinfo.1,yes
skeyinit.1,yes
sleep.1,yes
smproxy.1,yes
smtp.1,yes
sndioctl.1,yes
snmp.1,yes
sort.1,yes
sparc64/fdformat.1,no
sparc64/mksuncd.1,no
spell.1,yes
splain.1,yes
split.1,yes
ssh.1,yes
ssh-add.1,yes
ssh-agent.1,yes
ssh-askpass.1,yes
ssh-keygen.1,yes
ssh-keyscan.1,yes
startx.1,yes
stat.1,yes
streamzip.1,yes
strings.1,yes
strip.1,yes
stty.1,yes
su.1,yes
sxpm.1,yes
synclient.1,yes
syndaemon.1,yes
systat.1,yes
tail.1,yes
talk.1,yes
tar.1,yes
tcpbench.1,yes
tee.1,yes
telnet.1,yes
test.1,yes
texi2dvi.1,yes
texi2pdf.1,yes
texindex.1,yes
tftp.1,yes
tic.1,yes
time.1,yes
timeout.1,yes
tmux.1,yes
top.1,yes
touch.1,yes
tput.1,yes
tr.1,yes
tradcpp.1,yes
true.1,yes
ts.1,yes
tset.1,yes
tsort.1,yes
tty.1,yes
twm.1,yes
ucs2any.1,yes
ul.1,yes
uname.1,yes
unbound-host.1,yes
unifdef.1,yes
uniq.1,yes
units.1,yes
unprotoize.1,yes
unvis.1,yes
update-patches.1,yes
update-plist.1,yes
uptime.1,yes
usbhidaction.1,yes
usbhidctl.1,yes
users.1,yes
uuencode.1,yes
vacation.1,yes
vi.1,yes
video.1,yes
viewres.1,yes
vis.1,yes
w.1,yes
wall.1,yes
wc.1,yes
what.1,yes
whereis.1,yes
which.1,yes
who.1,yes
whoami.1,yes
whois.1,yes
write.1,yes
x11perf.1,yes
x11perfcomp.1,yes
x99token.1,yes
xargs.1,yes
xauth.1,yes
xbacklight.1,yes
xbiff.1,yes
xcalc.1,yes
xclipboard.1,yes
xclock.1,yes
xcmsdb.1,yes
xcompmgr.1,yes
xconsole.1,yes
xcutsel.1,yes
xdpr.1,yes
xdpyinfo.1,yes
xdriinfo.1,yes
xedit.1,yes
xenodm.1,yes
xev.1,yes
xeyes.1,yes
xfd.1,yes
xfontsel.1,yes
xgamma.1,yes
xgc.1,yes
xhost.1,yes
xidle.1,yes
xinit.1,yes
xinput.1,yes
xkbbell.1,yes
xkbcomp.1,yes
xkbevd.1,yes
xkbprint.1,yes
xkbvleds.1,yes
xkbwatch.1,yes
xkill.1,yes
xload.1,yes
xlock.1,yes
xlogo.1,yes
xlsatoms.1,yes
xlsclients.1,yes
xlsfonts.1,yes
xmag.1,yes
xmessage.1,yes
xmodmap.1,yes
xmore.1,yes
xpmroot.1,yes
xpr.1,yes
xprop.1,yes
xrandr.1,yes
xrdb.1,yes
xrefresh.1,yes
xset.1,yes
xsetroot.1,yes
xsm.1,yes
xsubpp.1,yes
xterm.1,yes
xtsscale.1,yes
xvctl.1,yes
xvidtune.1,yes
xvinfo.1,yes
xwd.1,yes
xwininfo.1,yes
xwud.1,yes
yacc.1,yes
yes.1,yes
ypcat.1,yes
ypmatch.1,yes
ypwhich.1,yes
yyfix.1,yes
zdiff.1,yes
zforce.1,yes
zmore.1,yes
znew.1,yes
__get_tcb.2,no
__thrsigdivert.2,no
__thrsleep.2,no
_exit.2,yes
accept.2,no
access.2,no
acct.2,yes
adjfreq.2,yes
adjtime.2,yes
alpha/inb.2,no
amd64/amd64_iopl.2,yes
armv7/arm_drain_writebuf.2,no
armv7/arm_sync_icache.2,no
bind.2,no
brk.2,no
chdir.2,no
chflags.2,no
chmod.2,no
chown.2,yes
chroot.2,no
clock_gettime.2,no
close.2,no
closefrom.2,no
connect.2,no
dup.2,no
execve.2,yes
fcntl.2,no
fhopen.2,no
flock.2,no
fork.2,yes
fsync.2,no
futex.2,no
getdents.2,no
getdtablecount.2,no
getentropy.2,no
getfh.2,no
getfsstat.2,no
getgid.2,yes
getgroups.2,yes
getitimer.2,no
getlogin.2,no
getpeername.2,no
getpgrp.2,no
getpid.2,no
getpriority.2,yes
getrlimit.2,no
getrtable.2,no
getrusage.2,no
getsid.2,no
getsockname.2,no
getsockopt.2,no
getthrid.2,no
getthrname.2,no
gettimeofday.2,yes
getuid.2,no
i386/i386_get_fsbase.2,no
i386/i386_get_gsbase.2,no
i386/i386_iopl.2,no
intro.2,no
ioctl.2,no
issetugid.2,no
kbind.2,no
kill.2,no
kqueue.2,no
ktrace.2,no
link.2,no
